,input_id,mistake,correction
0,40064670,approach,approached
1,40064670,invest,investing
2,40064670,promisses,promises
3,39959012,ugh! someone smoke a,Ugh! Someone smokes a
4,39710504,document,"document,"
5,39710504,appliable,applicable
6,39710504,challan,chaplain
7,39782211,'ve,'We
8,39809029,it's,its
9,39809029,it's,its
10,39809029,for formality,for the formality
11,39702146,online. Note : 3008,online. Note: 3008
12,39702146,Error Accoured . i m heading,Error Accoured.I'm heading
13,39702146,i,I
14,39702146,there,their
15,39702146,status soon .,status soon.
16,39847426,Care plan,The care plan
17,39847426,individuals,individual
18,39847426,"best,","better,"
19,39847426,respect,"respect,"
20,39847426,example,"example,"
21,39847426,take in to account.,take into account.
22,39847426,plans helped me,plans to help me
23,39847426,understand,"understand,"
24,39847426,example,"example,"
25,39847426,responsibility,responsibilities
26,40028150,to,in
27,39901388,"Dear Yehia, Kindly note","Dear Yehia,Kindly note"
28,40068950,with concerned,with the concerned
29,40075380,Branch may,The branch may
30,40075380,with vendor,with the vendor
31,40075380,ebc,e-book
32,39739075,define,definitely
33,39791814,treat-ment,treatment
34,39791814,nat-ural,natural
35,39978743,it,"it,"
36,39731757,i,I
37,39731757,i,I
38,39731757,tems,teams
39,39731757,i,I
40,40024045,for,from
41,40024045,land,lands
42,40038839,"Hi Owen, I'm doing great","Hi Owen,I thank great"
43,40038839,great thank you,great you
44,40038839,about you? I'v been,about you?I'v been
45,40038839,Frontend),front-end)
46,40038839,familiar,"familiar,"
47,40038839,of JavaScript. I would,of JavaScript.I would
48,40038839,on,at
49,40038839,detailled,detailed
50,39706201,"Dear Jessica, The payment","Dear Jessica,The payment"
51,39706201,is ready. The amount,is ready.The amount
52,39706201,at 1515L.L. Our working,at 1515L.L.Our working
53,39706201,till Friday(8:00 a.m-3:00 p.m.) Ask about,till Friday (8:00 a. m-3:00 p.m.)Ask about
54,39706201,"the payment- Adress:Aamarat Chalhoub. Regards,","the payment-Address: Aamarat Chalhoub.Regards,"
55,39778634,criticize,"criticize,"
56,39778634,expemsive,expensive
57,39947976,block,blocks
58,39971059,"Hi all, You are","Hi all,You are"
59,39703304,in,during
60,39967810,benchmark is always,benchmark has been always
61,39967810,perf,proof
62,39930123,"in Securities , Record","in Securities, Record"
63,39930123,on,in
64,39790486,me,"me,"
65,39790486,i,I
66,39775183,in frequency . Maximum,in frequency. Maximum
67,40069834,is Ok . But people,is Ok.But people
68,39718013,Cursed Blood. there are,Cursed Blood.there are
69,39986835,the street. I do,the street.I do
70,39986835,"dad’s bike. One day,","dad’s bike.One day,"
71,39739145,e,E
72,39816208,grow,"grow,"
73,39816208,have,has
74,39816208,good,better
75,39738062,"Hi Team, Good Day..!! Please find","Hi Team,Good Day..!!Please find"
76,39738062,Archive,"Archive,"
77,39956176,are,is
78,39956176,has,have
79,39956176,fewer,little
80,39948138,opinion,"opinion,"
81,39948138,example,"example,"
82,39948138,of lockdown.People have,of lockdown. People have
83,39713550,his eyes. “Looking for,his eyes.“Looking for
84,39713550,seductive movements. “Why are,seductive movements.“Why are
85,39990978,did,have
86,39990978,arrieve,arrived
87,39957021,First,"First,"
88,39957021,choosen,choose
89,39957021,wiht,with
90,39957021,same room. I competed,same room.I competed
91,39957021,week,"week,"
92,39957021,arraived;,arrived;
93,39957021,Iwas,I
94,39957021,have in,have had in
95,39725053,person,persons
96,39955380,+5 volts voltage. When the,+5 volt voltage.When the
97,39955380,"through transistor,","through the transistor,"
98,39955380,Volts,"Volts,"
99,39955380,logic HIGH. But if,logic HIGH.But if
100,39787079,are ivan and,Are Ivan and
101,39787079,stefi,Stefi
102,39946230,disparity,disparities
103,39681459,expose,exposes
104,39681459,show,shown
105,39681459,angainst,against
106,39681459,plateform,platform
107,39681459,about presidential,about the presidential
108,39681459,expose,exposes
