id,initial_text,corrected_text
39970580,"Hi Amy, 
You have produced some very good work demonstrating a good understanding and knowledge of the unit. I liked that you applied a theoretical underpinning and you may want to consider including visuals in future assignments as these can support the narrative content, providing additional evidence. 
You will notice your URKUND score was highlighted 24%, this was mainly contributed to by the AC numbering/headings and templates, however there were some similarities of text. I do not believe this to be plagiarism but please ensure all work submitted is in your own words. 
You have taken the time to reflect against your performance, identifying key development areas for your PDP, this will no doubt increase your professional competence and help you develop through the core professional areas.  
Again, well done and good luck with future submissions. 
Regards
Vanessa 
","Hi Amy, You have produced some very good work demonstrating a good understanding and knowledge of the unit. I liked that you applied a theoretical underpinning and you may want to consider including visuals in future assignments as these can support the narrative content, providing additional evidence. You will notice your URKUND score was highlighted 24%, this was mainly contributed to by the AC numbering/headings and templates, however there were some similarities of text. I do not believe this to be plagiarism, but please ensure all work submitted is in your own words. You have taken the time to reflect against your performance, identifying key development areas for your PDP, this will no doubt increase your professional competence and help you develop through the core professional areas.  Again, well done and good luck with future submissions. RegardsVanessa "
40064670,"We were approach to invest in BTC with the promises to double the money in 30 days. Since all of our retiring money was already invested in Crystalead, we said no,. BUT our Broker Dean Harris referred us to a BTC specialist with the promises to make a great deal. Mr Scott the BTC specialist convinces to go ahead and we barrow 30K with the promisses that double the money would be available to withdraw by the end of the month.","We were approached to investing in BTC with the promises to double the money in 30 days. Since all of our retiring money was already invested in Crystalead, we said no,. BUT our Broker Dean Harris referred us to a BTC specialist with the promises to make a great deal. Mr Scott the BTC specialist convinces to go ahead and we barrow 30K with the promises that double the money would be available to withdraw by the end of the month."
39805742,"In the saga does Beothuks, the more open the tribe is with sexuality, the more they connect with one another. Anyone having sexual intercourse with Gudruide while Woasut was giving birth caused Woasut to feel jealous. However, this problem was resolved when they expanded the polygamous circle of Anin to involve homosexuality among the women. (Source here) As seen when Anin returns, he is happily surprised by how much the women get along together and how excited they are to engage in sex together. Expanding polygamy to involve women among the tribe strengthens their bond together and removes any","In the saga does Beothuks, the more open the tribe is with sexuality, the more they connect with one another. Anyone having sexual intercourse with Gudruide while Woasut was giving birth caused Woasut to feel jealous. However, this problem was resolved when they expanded the polygamous circle of Anin to involve homosexuality among the women. (Source here) As seen when Anin returns, he is happily surprised by how much the women get along together and how excited they are to engage in sex together. Expanding polygamy to involve women among the tribe strengthens their bond together and removes any"
39959012,ugh! someone smoke a cigar,Ugh! Someone smokes a cigar
39710504,"I have read the clause 2.4 along with Annexure D. In Annexure D, we are unable to provide the salary slip of employee how are deputed in Accenture as it is a confidential document but we will provide the declaration where we will mention that we are compliance all the law laws that are appliable on Input Zero and we are ready to provide the EPF and ESIC challan if they required.     ","I have read the clause 2.4 along with Annexure D. In Annexure D, we are unable to provide the salary slip of employee how are deputed in Accenture as it is a confidential document, but we will provide the declaration where we will mention that we are compliance all the law laws that are applicable on Input Zero and we are ready to provide the EPF and ESIC chaplain if they required.     "
39782211,'ve never visited a Psychiatric Unit before.,'We never visited a Psychiatric Unit before.
39809029,4. Paraphrasing's goal is to arranged not just it's grammar and it's tone but also for formality of the sentence or paragraph.,4. Paraphrasing's goal is to arranged not just its grammar and its tone but also for the formality of the sentence or paragraph.
39702146,"We connected wifi connection to all employees for project BS-128 (MOI). All of them successfully punch in online. 
Note : 3008 and 4049 are still Error Accoured .
i m heading to BS-139 Now i will update there status soon .",We connected wifi connection to all employees for project BS-128 (MOI). All of them successfully punch in online. Note: 3008 and 4049 are still Error Accoured.I'm heading to BS-139 Now I will update their status soon.
39707073,"But what shocked me most was the ending of the film. The ending was gruesome and something which will teach us all to stay away from these sorts of apparatus. The fact that the robot miscalculates the instructions given by the actual mother is actually the most dangerous thing about her. How even after being told the chicken is on the bench and the mother calling her kid “little chicken”, she gets confused due to the storm which malfunctions, resulting in cooking the child rather than the chicken. The horrifying ending conveys us that we should not be dependent on","But what shocked me most was the ending of the film. The ending was gruesome and something which will teach us all to stay away from these sorts of apparatus. The fact that the robot miscalculates the instructions given by the actual mother is actually the most dangerous thing about her. How even after being told the chicken is on the bench and the mother calling her kid “little chicken”, she gets confused due to the storm which malfunctions, resulting in cooking the child rather than the chicken. The horrifying ending conveys us that we should not be dependent on"
39847426,"Care plan is very important as is the main source of client information and should focus on the person. Should include individuals choices, needs, wishes, and expectations. Service users know themselves best, so we should listen and respect even if we disagree. The care plan should be upgraded and changed every time if needed, for example when an individual was in hospital their care plan should be changed as could be some changes in their medication to take in to account. Care plans helped me to understand for example why individuals behave in the way they do, so many responsibility is to check care plan every visit and report any changes that I notice so we can change the care plan accordingly. ","The care plan is very important as is the main source of client information and should focus on the person. Should include individual choices, needs, wishes, and expectations. Service users know themselves better, so we should listen and respect, even if we disagree. The care plan should be upgraded and changed every time if needed, for example, when an individual was in hospital their care plan should be changed as could be some changes in their medication to take into account. Care plans to help me to understand, for example, why individuals behave in the way they do, so many responsibilities is to check care plan every visit and report any changes that I notice so we can change the care plan accordingly. "
